Symbiont Index,Host Index,T_MMM_05_degC
750,94,28.68
750,111,28.68
750,137,28.68
750,143,28.68
750,159,28.68
750,161,28.68
750,166,28.68
750,173,28.68
750,175,28.68
750,177,28.68
750,215,28.68
750,236,28.68
750,251,28.68
750,255,28.68
750,279,28.68
750,282,28.68
750,293,28.68
750,297,28.68
750,300,28.68
750,314,28.68
750,321,28.68
750,329,28.68
750,332,28.68
750,335,28.68
750,338,28.68
750,353,28.68
750,356,28.68
750,369,28.68
750,403,28.68
750,406,28.68
750,478,28.68
750,515,28.68
750,527,28.68
750,555,28.68
750,566,28.68
750,579,28.68
750,586,28.68
750,595,28.68
750,599,28.68
750,657,28.68
750,659,28.68
750,660,28.68
750,666,28.68
750,674,28.68
750,681,28.68
750,705,28.68
750,730,28.68
733,681,28.68
732,681,28.68
776,444,28.68
776,456,28.68
776,601,28.68
776,613,28.68
776,621,28.68
776,631,28.68
776,633,28.68
776,634,28.68
776,636,28.68
776,645,28.68
776,647,28.68
776,655,28.68
850,456,28.68
858,437,28.68
858,450,28.68
858,456,28.68
863,681,28.68
864,356,28.68
864,527,28.68
864,705,28.68
772,566,28.68
772,579,28.68
772,586,28.68
772,595,28.68
772,705,28.68
868,177,28.68
870,566,28.68
871,681,28.68
785,56,28.68
785,210,28.68
785,227,28.68
785,242,28.68
785,262,28.68
785,268,28.68
785,279,28.68
785,295,28.68
785,318,28.68
785,364,28.68
785,372,28.68
785,403,28.68
785,448,28.68
785,508,28.68
785,518,28.68
882,372,28.68
882,724,28.68
882,726,28.68
883,372,28.68
883,724,28.68
883,726,28.68
792,465,28.68
884,161,28.68
884,527,28.68
886,601,28.68
762,2,28.68
762,6,28.68
762,11,28.68
762,12,28.68
762,21,28.68
762,26,28.68
762,28,28.68
762,29,28.68
762,34,28.68
762,38,28.68
762,43,28.68
762,44,28.68
762,49,28.68
762,52,28.68
762,55,28.68
762,56,28.68
762,60,28.68
762,62,28.68
762,64,28.68
762,68,28.68
762,70,28.68
762,72,28.68
762,74,28.68
762,79,28.68
762,86,28.68
762,93,28.68
762,94,28.68
762,110,28.68
762,111,28.68
762,115,28.68
762,119,28.68
762,121,28.68
762,147,28.68
762,171,28.68
762,177,28.68
762,192,28.68
762,210,28.68
762,214,28.68
762,216,28.68
762,220,28.68
762,222,28.68
762,227,28.68
762,230,28.68
762,253,28.68
762,258,28.68
762,262,28.68
762,265,28.68
762,278,28.68
762,279,28.68
762,282,28.68
762,285,28.68
762,287,28.68
762,308,28.68
762,312,28.68
762,314,28.68
762,317,28.68
762,318,28.68
762,321,28.68
762,325,28.68
762,336,28.68
762,342,28.68
762,344,28.68
762,353,28.68
762,361,28.68
762,369,28.68
762,371,28.68
762,372,28.68
762,375,28.68
762,403,28.68
762,413,28.68
762,419,28.68
762,435,28.68
762,478,28.68
762,495,28.68
762,496,28.68
762,497,28.68
762,500,28.68
762,505,28.68
762,508,28.68
762,518,28.68
762,523,28.68
762,534,28.68
762,535,28.68
762,541,28.68
762,544,28.68
762,548,28.68
762,549,28.68
762,597,28.68
762,599,28.68
762,673,28.68
762,681,28.68
762,711,28.68
762,714,28.68
762,723,28.68
760,468,28.68
775,566,28.68
906,566,28.68
908,705,28.68
771,705,28.68
909,705,28.68
920,681,28.68
782,6,28.68
782,147,28.68
782,171,28.68
782,210,28.68
782,214,28.68
782,216,28.68
782,220,28.68
782,222,28.68
782,262,28.68
782,278,28.68
782,279,28.68
782,282,28.68
782,285,28.68
782,287,28.68
782,321,28.68
782,336,28.68
782,342,28.68
782,353,28.68
782,369,28.68
782,371,28.68
782,375,28.68
782,478,28.68
782,495,28.68
782,496,28.68
782,497,28.68
782,500,28.68
782,505,28.68
782,508,28.68
782,518,28.68
782,523,28.68
782,534,28.68
782,535,28.68
782,541,28.68
782,548,28.68
782,549,28.68
782,597,28.68
782,599,28.68
782,673,28.68
782,723,28.68
922,210,28.68
922,308,28.68
922,375,28.68
922,497,28.68
785,12,28.68
785,29,28.68
785,34,28.68
785,38,28.68
785,52,28.68
785,55,28.68
785,68,28.68
785,70,28.68
785,72,28.68
785,74,28.68
785,79,28.68
783,681,28.68
928,681,28.68
791,222,28.68
791,224,28.68
791,227,28.68
791,478,28.68
791,714,28.68
791,717,28.68
791,723,28.68
791,728,28.68
791,730,28.68
931,224,28.68
932,227,28.68
761,705,28.68
761,566,28.68
933,566,28.68
933,705,28.68
955,601,28.68
955,613,28.68
955,655,28.68
956,451,28.68
961,444,28.68
765,705,28.68
965,705,28.68
749,705,28.68
769,705,28.68
795,705,28.68
786,2,28.68
786,79,28.68
786,222,28.68
786,300,28.68
786,304,28.68
786,318,28.68
786,344,28.68
786,361,28.68
786,419,28.68
748,2,28.68
748,222,28.68
748,300,28.68
748,304,28.68
748,318,28.68
748,344,28.68
748,361,28.68
748,419,28.68
974,318,28.68
975,6,28.68
975,62,28.68
975,74,28.68
975,85,28.68
975,111,28.68
750,5,28.54
750,32,28.54
750,35,28.54
750,75,28.54
750,77,28.54
750,116,28.54
750,120,28.54
750,144,28.54
750,146,28.54
750,174,28.54
750,225,28.54
750,291,28.54
750,345,28.54
750,470,28.54
750,502,28.54
750,512,28.54
750,560,28.54
750,569,28.54
750,581,28.54
750,672,28.54
750,706,28.54
772,569,28.54
772,581,28.54
785,180,28.54
785,217,28.54
785,269,28.54
785,301,28.54
785,340,28.54
785,345,28.54
785,377,28.54
785,533,28.54
785,712,28.54
785,719,28.54
881,180,28.54
881,217,28.54
881,269,28.54
881,301,28.54
881,340,28.54
881,345,28.54
881,377,28.54
881,533,28.54
881,712,28.54
881,719,28.54
884,138,28.54
884,275,28.54
884,340,28.54
884,509,28.54
762,9,28.54
762,14,28.54
762,22,28.54
762,31,28.54
762,32,28.54
762,35,28.54
762,37,28.54
762,41,28.54
762,59,28.54
762,66,28.54
762,75,28.54
762,97,28.54
762,98,28.54
762,107,28.54
762,114,28.54
762,116,28.54
762,225,28.54
762,231,28.54
762,250,28.54
762,259,28.54
902,447,28.54
760,442,28.54
760,464,28.54
760,470,28.54
760,471,28.54
900,470,28.54
901,464,28.54
949,553,28.54
950,615,28.54
950,622,28.54
951,615,28.54
952,455,28.54
953,682,28.54
786,530,28.54
786,672,28.54
748,530,28.54
748,672,28.54
750,168,29.56
750,571,29.56
776,462,29.56
776,614,29.56
776,646,29.56
850,462,29.56
861,40,29.56
870,571,29.56
785,4,29.56
882,378,29.56
775,591,29.56
771,684,29.56
911,709,29.56
791,193,29.56
761,591,29.56
933,591,29.56
955,653,29.56
957,139,29.56
961,445,29.56
765,709,29.56
749,709,29.56
769,709,29.56
759,709,29.56
786,105,29.56
